"subject","domain","response_number","participant_response","response_onset_time","IRT","participant_designated_switch","dataset","checked_words","list_number"
50007,"occupations",1,"police_officer",4.303,4.303,2,"LEA","police officer",3
50007,"occupations",2,"fireman",6.803,2.5,0,"LEA","fireman",3
50007,"occupations",3,"doctor",9.203,2.4,0,"LEA","doctor",3
50007,"occupations",4,"nurse",11.503,2.3,0,"LEA","nurse",3
50007,"occupations",5,"physical_therapist",14.003,2.5,0,"LEA","physical therapist",3
50007,"occupations",6,"receptionist",18.303,4.3,1,"LEA","receptionist",3
50007,"occupations",7,"teacher",23.403,5.1,1,"LEA","teacher",3
50007,"occupations",8,"professor",26.403,3,0,"LEA","professor",3
50007,"occupations",9,"writer",33.503,7.1,1,"LEA","writer",3
50007,"occupations",10,"journalist",37.903,4.4,0,"LEA","journalist",3
50007,"occupations",11,"eye_doctor",41.803,3.9,1,"LEA","eye doctor",3
50007,"occupations",12,"podiatrist",49.403,7.6,0,"LEA","podiatrist",3
50007,"occupations",13,"veterinarian",52.203,2.8,1,"LEA","veterinarian",3
50007,"occupations",14,"dietician",57.303,5.09999999999999,1,"LEA","dietician",3
50007,"occupations",15,"fitness_instructor",62.803,5.5,1,"LEA","fitness instructor",3
50007,"occupations",16,"ear_nose_and_throat_specialist",73.603,10.8,1,"LEA","ear nose and throat specialist",3
50007,"occupations",17,"military_officer",80.203,6.60000000000001,1,"LEA","military officer",3
50007,"occupations",18,"psychiatrist",87.803,7.59999999999999,1,"LEA","psychiatrist",3
50007,"occupations",19,"IT_person",94.303,6.5,1,"LEA","IT person",3
50007,"occupations",20,"book_editor",99.603,5.3,1,"LEA","book editor",3
50007,"occupations",21,"factory_worker",105.703,6.10000000000001,1,"LEA","factory worker",3
50007,"occupations",22,"chauffeur",111.903,6.2,1,"LEA","chauffeur",3
50007,"occupations",23,"bus_driver",120.103,8.19999999999999,0,"LEA","bus driver",3
50007,"occupations",24,"president",131.903,11.8,1,"LEA","president",3
50007,"occupations",25,"any_branch_of_government_job",142.503,10.6,0,"LEA","government worker",3
50007,"occupations",26,"athlete",152.403,9.90000000000001,1,"LEA","athlete",3
50007,"occupations",27,"computer_programmer",160.803,8.40000000000001,1,"LEA","computer programmer",3
50007,"occupations",28,"cartographer",168.803,8,1,"LEA","cartographer",3
50007,"occupations",29,"chemist",173.403,4.59999999999999,1,"LEA","chemist",3
50007,"occupations",30,"researcher",180.503,7.09999999999999,0,"LEA","researcher",3
50012,"occupations",1,"dog_walker",2.94,2.94,2,"LEA","dog walker",3
50012,"occupations",2,"sales_manager",5.04,2.1,1,"LEA","sales manager",3
50012,"occupations",3,"physical_therapist",6.74,1.7,1,"LEA","physical therapist",3
50012,"occupations",4,"nurse",8.74,2,0,"LEA","nurse",3
50012,"occupations",5,"doctor",10.04,1.3,0,"LEA","doctor",3
50012,"occupations",6,"anesthesiologist",11.64,1.6,0,"LEA","anesthesiologist",3
50012,"occupations",7,"event_manager",19.34,7.7,1,"LEA","event manager",3
50012,"occupations",8,"nurse_anesthetist",22.84,3.5,1,"LEA","nurse anesthetist",3
50012,"occupations",9,"photographer",26.14,3.3,1,"LEA","photographer",3
50012,"occupations",10,"painter",28.24,2.1,0,"LEA","painter",3
50012,"occupations",11,"dancer",30.44,2.2,0,"LEA","dancer",3
50012,"occupations",12,"fitness_educator",34.34,3.9,1,"LEA","fitness educator",3
50012,"occupations",13,"architect",38.44,4.09999999999999,1,"LEA","architect",3
50012,"occupations",14,"engineer",40.04,1.6,0,"LEA","engineer",3
50012,"occupations",15,"swim_coach",42.74,2.7,1,"LEA","swim coach",3
50012,"occupations",16,"basketball_coach",44.94,2.2,0,"LEA","basketball coach",3
50012,"occupations",17,"football_coach",47.24,2.3,0,"LEA","football coach",3
50012,"occupations",18,"gymnast",50.04,2.8,0,"LEA","gymnast",3
50012,"occupations",19,"journalist",57.54,7.5,1,"LEA","journalist",3
50012,"occupations",20,"writer",59.34,1.8,0,"LEA","writer",3
50012,"occupations",21,"editor",61.04,1.7,0,"LEA","editor",3
50012,"occupations",22,"designer",73.14,12.1,0,"LEA","designer",3
50012,"occupations",23,"landscaper",75.34,2.2,0,"LEA","landscaper",3
