"subject","domain","response_number","participant_response","response_onset_time","IRT","participant_designated_switch","dataset","list_number"
50002,"occupations",1,"doctor",2.641,2.641,2,"LEA",1
50002,"occupations",2,"officer",3.341,0.7,1,"LEA",1
50002,"occupations",3,"police_officer",4.441,1.1,0,"LEA",1
50002,"occupations",4,"EMT",7.941,3.5,1,"LEA",1
50002,"occupations",5,"secretary",9.441,1.5,1,"LEA",1
50002,"occupations",6,"athlete",13.891,4.45,1,"LEA",1
50002,"occupations",7,"teacher",15.441,1.55,1,"LEA",1
50002,"occupations",8,"fireman",17.141,1.7,1,"LEA",1
50002,"occupations",9,"librarian",17.941,0.800000000000001,1,"LEA",1
50002,"occupations",10,"physical_therapist",23.041,5.1,1,"LEA",1
50002,"occupations",11,"clinical_psychologist",24.341,1.3,0,"LEA",1
50002,"occupations",12,"lab_worker",26.641,2.3,0,"LEA",1
50002,"occupations",13,"engineer",29.841,3.2,1,"LEA",1
50002,"occupations",14,"computer_technician",32.041,2.2,0,"LEA",1
50002,"occupations",15,"business_person",37.891,5.85,1,"LEA",1
50002,"occupations",16,"travel_agent",41.841,3.95,0,"LEA",1
50002,"occupations",17,"real_estate",43.041,1.2,0,"LEA",1
50002,"occupations",18,"realtor",46.891,3.85,0,"LEA",1
50002,"occupations",19,"pilot",50.941,4.05,0,"LEA",1
50002,"occupations",20,"attendant",53.141,2.2,0,"LEA",1
50002,"occupations",21,"nurse",55.341,2.2,1,"LEA",1
50002,"occupations",22,"professor",62.341,7,1,"LEA",1
50002,"occupations",23,"mayor",75.441,13.1,1,"LEA",1
50002,"occupations",24,"dancer",88.491,13.05,1,"LEA",1
50002,"occupations",25,"artist",89.241,0.75,0,"LEA",1
50002,"occupations",26,"post_office_worker",97.041,7.8,1,"LEA",1
50002,"occupations",27,"security_guard",103.541,6.5,1,"LEA",1
50002,"occupations",28,"driver",110.241,6.7,1,"LEA",1
50002,"occupations",29,"housekeeper",113.541,3.3,0,"LEA",1
50002,"occupations",30,"plumber",116.441,2.90000000000001,1,"LEA",1
50002,"occupations",31,"manager",124.241,7.8,1,"LEA",1
50002,"occupations",32,"waiting",125.441,1.2,0,"LEA",1
50002,"occupations",33,"wait_staff",126.441,1,1,"LEA",1
50002,"occupations",34,"cook",130.041,3.59999999999999,0,"LEA",1
50002,"occupations",35,"floor_worker",134.141,4.09999999999999,0,"LEA",1
50002,"occupations",36,"craftsperson",145.991,11.85,1,"LEA",1
50002,"occupations",37,"electrician",152.541,6.54999999999998,1,"LEA",1
50002,"occupations",38,"customer_service_representative",161.841,9.30000000000001,1,"LEA",1
50002,"occupations",39,"cashier",168.241,6.40000000000001,0,"LEA",1
50002,"occupations",40,"zoologist",174.241,6,1,"LEA",1
50004,"occupations",1,"teacher",2.844,2.844,2,"LEA",1
50004,"occupations",2,"excavator",4.544,1.7,1,"LEA",1
50004,"occupations",3,"doctor",6.844,2.3,1,"LEA",1
50004,"occupations",4,"soldier",12.144,5.3,1,"LEA",1
50004,"occupations",5,"librarian",13.844,1.7,1,"LEA",1
50004,"occupations",6,"curator",15.344,1.5,0,"LEA",1
50004,"occupations",7,"dentist",19.344,4,1,"LEA",1
50004,"occupations",8,"surgeon",22.044,2.7,0,"LEA",1
50004,"occupations",9,"professor",25.844,3.8,0,"LEA",1
50004,"occupations",10,"brick_layer",29.244,3.4,1,"LEA",1
50004,"occupations",11,"businessman",38.544,9.3,1,"LEA",1
50004,"occupations",12,"executive",42.644,4.1,0,"LEA",1
50004,"occupations",13,"president",46.144,3.5,0,"LEA",1
50004,"occupations",14,"senator",48.844,2.7,0,"LEA",1
50004,"occupations",15,"singer",58.844,10,1,"LEA",1
50004,"occupations",16,"actor",60.644,1.8,0,"LEA",1
50004,"occupations",17,"director",63.544,2.9,0,"LEA",1
50004,"occupations",18,"set_dresser",66.844,3.3,0,"LEA",1
50004,"occupations",19,"tailor",73.744,6.90000000000001,0,"LEA",1
50004,"occupations",20,"spy",75.744,2,0,"LEA",1
50004,"occupations",21,"dancer",88.244,12.5,0,"LEA",1
50004,"occupations",22,"carpenter",91.544,3.3,1,"LEA",1
50004,"occupations",23,"plumber",93.344,1.8,0,"LEA",1
50004,"occupations",24,"cabinet_maker",97.944,4.60000000000001,0,"LEA",1
50004,"occupations",25,"designer",107.444,9.5,1,"LEA",1
50004,"occupations",26,"model",110.044,2.59999999999999,0,"LEA",1
50004,"occupations",27,"marine_biologist",129.144,19.1,1,"LEA",1
50004,"occupations",28,"film_archivist",134.744,5.59999999999999,1,"LEA",1
50004,"occupations",29,"private_manuscript_consultant",138.844,4.09999999999999,0,"LEA",1
50004,"occupations",30,"locksmith",150.944,12.1,1,"LEA",1
50004,"occupations",31,"farmer",158.044,7.10000000000002,1,"LEA",1
50004,"occupations",32,"antiques_dealer",164.244,6.19999999999999,0,"LEA",1
50006,"occupations",1,"consultant",3.784,3.784,2,"LEA",1
50006,"occupations",2,"fashion_designer",7.084,3.3,1,"LEA",1
50006,"occupations",3,"doctor",10.084,3,1,"LEA",1
50006,"occupations",4,"lawyer",11.684,1.6,0,"LEA",1
50006,"occupations",5,"judge",13.184,1.5,0,"LEA",1
50006,"occupations",6,"police_officer",14.484,1.3,0,"LEA",1
50006,"occupations",7,"firefighter",15.984,1.5,0,"LEA",1
50006,"occupations",8,"mayor",18.084,2.1,0,"LEA",1
50006,"occupations",9,"governor",19.184,1.1,0,"LEA",1
50006,"occupations",10,"president",20.184,1,0,"LEA",1
50006,"occupations",11,"congressman",21.384,1.2,0,"LEA",1
50006,"occupations",12,"garbage_man",24.984,3.6,0,"LEA",1
50006,"occupations",13,"nurse",27.184,2.2,0,"LEA",1
50006,"occupations",14,"bank_teller",30.684,3.5,0,"LEA",1
50006,"occupations",15,"CEO",32.784,2.1,0,"LEA",1
50006,"occupations",16,"COO",34.084,1.3,0,"LEA",1
50006,"occupations",17,"CFO",34.984,0.899999999999999,0,"LEA",1
50006,"occupations",18,"associate",45.584,10.6,1,"LEA",1
50006,"occupations",19,"cashier",55.884,10.3,0,"LEA",1
50006,"occupations",20,"cook",57.284,1.4,1,"LEA",1
50006,"occupations",21,"waiter",59.584,2.3,0,"LEA",1
50006,"occupations",22,"waitress",60.484,0.899999999999999,0,"LEA",1
50006,"occupations",23,"scientist",70.784,10.3,1,"LEA",1
50006,"occupations",24,"marine_biologist",76.884,6.09999999999999,0,"LEA",1
50006,"occupations",25,"chemist",80.084,3.2,0,"LEA",1
50006,"occupations",26,"computer_programmer",84.584,4.5,1,"LEA",1
50006,"occupations",27,"musician",100.084,15.5,1,"LEA",1
50006,"occupations",28,"artist",101.884,1.8,0,"LEA",1
50006,"occupations",29,"teacher",115.184,13.3,1,"LEA",1
50006,"occupations",30,"principal",116.384,1.2,0,"LEA",1
50006,"occupations",31,"custodian",118.884,2.5,0,"LEA",1
50006,"occupations",32,"manager",125.784,6.90000000000001,0,"LEA",1
50006,"occupations",33,"financial_adviser",132.684,6.89999999999999,1,"LEA",1
50006,"occupations",34,"academic_advisor",140.084,7.40000000000001,1,"LEA",1
50006,"occupations",35,"dean",149.284,9.19999999999999,0,"LEA",1
50006,"occupations",36,"professor",151.084,1.80000000000001,0,"LEA",1
50006,"occupations",37,"social_worker",156.384,5.29999999999998,1,"LEA",1
50006,"occupations",38,"marine",171.584,15.2,1,"LEA",1
50011,"occupations",1,"doctor",2.727,2.727,2,"LEA",1
50011,"occupations",2,"lawyer",3.427,0.7,0,"LEA",1
50011,"occupations",3,"pharmacist",4.727,1.3,1,"LEA",1
50011,"occupations",4,"sales_manager",6.527,1.8,1,"LEA",1
50011,"occupations",5,"sales_representative",7.927,1.4,0,"LEA",1
50011,"occupations",6,"accountant",10.027,2.1,0,"LEA",1
50011,"occupations",7,"biologist",12.727,2.7,1,"LEA",1
50011,"occupations",8,"researcher",14.527,1.8,0,"LEA",1
50011,"occupations",9,"president",18.727,4.2,1,"LEA",1
50011,"occupations",10,"waitress",22.827,4.1,1,"LEA",1
50011,"occupations",11,"paleontologist",29.027,6.2,1,"LEA",1
50011,"occupations",12,"orthodontist",32.827,3.8,1,"LEA",1
50011,"occupations",13,"dental_hygienist",35.527,2.7,0,"LEA",1
50011,"occupations",14,"dentist",36.827,1.3,0,"LEA",1
50011,"occupations",15,"policeman",42.327,5.5,1,"LEA",1
50011,"occupations",16,"taxi_driver",45.327,3,1,"LEA",1
50011,"occupations",17,"agent",55.827,10.5,1,"LEA",1
50011,"occupations",18,"athlete",57.427,1.6,0,"LEA",1
50011,"occupations",19,"stockbroker",68.727,11.3,1,"LEA",1
50011,"occupations",20,"speech_pathologist",74.527,5.8,1,"LEA",1
50011,"occupations",21,"MRI_technician",77.327,2.8,1,"LEA",1
50011,"occupations",22,"architect",82.627,5.3,1,"LEA",1
50011,"occupations",23,"construction_worker",88.027,5.40000000000001,1,"LEA",1
50011,"occupations",24,"excavator",98.127,10.1,1,"LEA",1
50011,"occupations",25,"appraiser",101.427,3.30000000000001,1,"LEA",1
50011,"occupations",26,"assistant",113.527,12.1,1,"LEA",1
50011,"occupations",27,"receptionist",118.527,5,1,"LEA",1
50011,"occupations",28,"student",124.827,6.3,1,"LEA",1
