"subject","domain","response_number","participant_response","response_onset_time","IRT","participant_designated_switch","dataset"
50001,"occupations",1,"lawyer",3.841,3.841,2,"LEA"
50001,"occupations",2,"doctor",5.541,1.7,0,"LEA"
50001,"occupations",3,"researcher",8.441,2.9,0,"LEA"
50001,"occupations",4,"social_worker",18.041,9.6,0,"LEA"
50001,"occupations",5,"politician",25.641,7.6,1,"LEA"
50001,"occupations",6,"writer",31.441,5.8,0,"LEA"
50001,"occupations",7,"singer",33.741,2.3,0,"LEA"
50001,"occupations",8,"musician",35.341,1.6,0,"LEA"
50001,"occupations",9,"chef",42.341,7,0,"LEA"
50001,"occupations",10,"secretary",47.341,5,0,"LEA"
50001,"occupations",11,"nurse",59.041,11.7,0,"LEA"
50001,"occupations",12,"audiologist",65.941,6.90000000000001,1,"LEA"
50001,"occupations",13,"speech_pathologist",72.141,6.2,0,"LEA"
50001,"occupations",14,"teacher",77.041,4.89999999999999,0,"LEA"
50001,"occupations",15,"seamstress",87.141,10.1,1,"LEA"
50001,"occupations",16,"actor",90.741,3.59999999999999,1,"LEA"
50001,"occupations",17,"cashier",104.141,13.4,1,"LEA"
50001,"occupations",18,"professor",124.841,20.7,0,"LEA"
50001,"occupations",19,"construction_worker",133.441,8.60000000000001,0,"LEA"
50001,"occupations",20,"manager",142.741,9.30000000000001,1,"LEA"
50001,"occupations",21,"firefighter",159.341,16.6,1,"LEA"
50001,"occupations",22,"police",162.541,3.19999999999999,0,"LEA"
50001,"occupations",23,"surgeon",175.041,12.5,1,"LEA"
50002,"occupations",1,"doctor",2.641,2.641,2,"LEA"
50002,"occupations",2,"officer",3.341,0.7,1,"LEA"
50002,"occupations",3,"police_officer",4.441,1.1,0,"LEA"
50002,"occupations",4,"EMT",7.941,3.5,1,"LEA"
50002,"occupations",5,"secretary",9.441,1.5,1,"LEA"
50002,"occupations",6,"athlete",13.891,4.45,1,"LEA"
50002,"occupations",7,"teacher",15.441,1.55,1,"LEA"
50002,"occupations",8,"fireman",17.141,1.7,1,"LEA"
50002,"occupations",9,"librarian",17.941,0.800000000000001,1,"LEA"
50002,"occupations",10,"physical_therapist",23.041,5.1,1,"LEA"
50002,"occupations",11,"clinical_psychologist",24.341,1.3,0,"LEA"
50002,"occupations",12,"lab_worker",26.641,2.3,0,"LEA"
50002,"occupations",13,"engineer",29.841,3.2,1,"LEA"
50002,"occupations",14,"computer_technician",32.041,2.2,0,"LEA"
50002,"occupations",15,"business_person",37.891,5.85,1,"LEA"
50002,"occupations",16,"travel_agent",41.841,3.95,0,"LEA"
50002,"occupations",17,"real_estate",43.041,1.2,0,"LEA"
50002,"occupations",18,"realtor",46.891,3.85,0,"LEA"
50002,"occupations",19,"pilot",50.941,4.05,0,"LEA"
50002,"occupations",20,"attendant",53.141,2.2,0,"LEA"
50002,"occupations",21,"nurse",55.341,2.2,1,"LEA"
50002,"occupations",22,"professor",62.341,7,1,"LEA"
50002,"occupations",23,"mayor",75.441,13.1,1,"LEA"
50002,"occupations",24,"dancer",88.491,13.05,1,"LEA"
50002,"occupations",25,"artist",89.241,0.75,0,"LEA"
50002,"occupations",26,"post_office_worker",97.041,7.8,1,"LEA"
50002,"occupations",27,"security_guard",103.541,6.5,1,"LEA"
50002,"occupations",28,"driver",110.241,6.7,1,"LEA"
50002,"occupations",29,"housekeeper",113.541,3.3,0,"LEA"
50002,"occupations",30,"plumber",116.441,2.90000000000001,1,"LEA"
50002,"occupations",31,"manager",124.241,7.8,1,"LEA"
50002,"occupations",32,"waiting",125.441,1.2,0,"LEA"
50002,"occupations",33,"wait_staff",126.441,1,1,"LEA"
50002,"occupations",34,"cook",130.041,3.59999999999999,0,"LEA"
50002,"occupations",35,"floor_worker",134.141,4.09999999999999,0,"LEA"
50002,"occupations",36,"craftsperson",145.991,11.85,1,"LEA"
50002,"occupations",37,"electrician",152.541,6.54999999999998,1,"LEA"
50002,"occupations",38,"customer_service_representative",161.841,9.30000000000001,1,"LEA"
50002,"occupations",39,"cashier",168.241,6.40000000000001,0,"LEA"
50002,"occupations",40,"zoologist",174.241,6,1,"LEA"
50003,"occupations",1,"lawyer",4.801,4.801,2,"LEA"
50003,"occupations",2,"doctor",6.001,1.2,0,"LEA"
50003,"occupations",3,"surgeon",7.301,1.3,0,"LEA"
50003,"occupations",4,"psychologist",8.701,1.4,0,"LEA"
50003,"occupations",5,"counselor",10.101,1.4,0,"LEA"
50003,"occupations",6,"janitor",12.501,2.4,0,"LEA"
50003,"occupations",7,"secretary",15.301,2.8,0,"LEA"
50003,"occupations",8,"clerk",16.801,1.5,0,"LEA"
50003,"occupations",9,"salesperson",19.001,2.2,0,"LEA"
50003,"occupations",10,"manager",20.801,1.8,0,"LEA"
50003,"occupations",11,"teacher",22.801,2,1,"LEA"
50003,"occupations",12,"lunch_lady",27.501,4.7,0,"LEA"
50003,"occupations",13,"truck_driver",30.101,2.6,1,"LEA"
50003,"occupations",14,"lab_technician",35.501,5.4,0,"LEA"
50003,"occupations",15,"engineer",42.701,7.2,0,"LEA"
50003,"occupations",16,"architect",44.501,1.8,0,"LEA"
50003,"occupations",17,"physical_therapist",65.801,21.3,0,"LEA"
50003,"occupations",18,"dermatologist",68.901,3.09999999999999,0,"LEA"
50003,"occupations",19,"audiologist",71.701,2.8,0,"LEA"
50003,"occupations",20,"accountant",81.601,9.90000000000001,1,"LEA"
50003,"occupations",21,"oncologist",92.301,10.7,0,"LEA"
50003,"occupations",22,"chef",99.101,6.8,0,"LEA"
50003,"occupations",23,"artist",105.201,6.09999999999999,0,"LEA"
50003,"occupations",24,"animator",107.201,2,0,"LEA"
50003,"occupations",25,"director",109.001,1.80000000000001,0,"LEA"
50003,"occupations",26,"producer",109.901,0.899999999999991,0,"LEA"
50003,"occupations",27,"actor",111.401,1.5,0,"LEA"
50003,"occupations",28,"musician",118.701,7.3,0,"LEA"
50003,"occupations",29,"professional_sports_player",124.801,6.10000000000001,0,"LEA"
50003,"occupations",30,"gardener",136.701,11.9,0,"LEA"
50003,"occupations",31,"construction",147.801,11.1,0,"LEA"
50003,"occupations",32,"uber_driver",152.201,4.40000000000001,0,"LEA"
50003,"occupations",33,"student",157.701,5.5,0,"LEA"
50003,"occupations",34,"retail_salesman",171.701,14,0,"LEA"
50004,"occupations",1,"teacher",2.844,2.844,2,"LEA"
50004,"occupations",2,"excavator",4.544,1.7,1,"LEA"
50004,"occupations",3,"doctor",6.844,2.3,1,"LEA"
50004,"occupations",4,"soldier",12.144,5.3,1,"LEA"
50004,"occupations",5,"librarian",13.844,1.7,1,"LEA"
50004,"occupations",6,"curator",15.344,1.5,0,"LEA"
50004,"occupations",7,"dentist",19.344,4,1,"LEA"
50004,"occupations",8,"surgeon",22.044,2.7,0,"LEA"
50004,"occupations",9,"professor",25.844,3.8,0,"LEA"
50004,"occupations",10,"brick_layer",29.244,3.4,1,"LEA"
50004,"occupations",11,"businessman",38.544,9.3,1,"LEA"
50004,"occupations",12,"executive",42.644,4.1,0,"LEA"
50004,"occupations",13,"president",46.144,3.5,0,"LEA"
50004,"occupations",14,"senator",48.844,2.7,0,"LEA"
50004,"occupations",15,"singer",58.844,10,1,"LEA"
50004,"occupations",16,"actor",60.644,1.8,0,"LEA"
50004,"occupations",17,"director",63.544,2.9,0,"LEA"
50004,"occupations",18,"set_dresser",66.844,3.3,0,"LEA"
50004,"occupations",19,"tailor",73.744,6.90000000000001,0,"LEA"
50004,"occupations",20,"spy",75.744,2,0,"LEA"
50004,"occupations",21,"dancer",88.244,12.5,0,"LEA"
50004,"occupations",22,"carpenter",91.544,3.3,1,"LEA"
50004,"occupations",23,"plumber",93.344,1.8,0,"LEA"
50004,"occupations",24,"cabinet_maker",97.944,4.60000000000001,0,"LEA"
50004,"occupations",25,"designer",107.444,9.5,1,"LEA"
50004,"occupations",26,"model",110.044,2.59999999999999,0,"LEA"
50004,"occupations",27,"marine_biologist",129.144,19.1,1,"LEA"
50004,"occupations",28,"film_archivist",134.744,5.59999999999999,1,"LEA"
50004,"occupations",29,"private_manuscript_consultant",138.844,4.09999999999999,0,"LEA"
50004,"occupations",30,"locksmith",150.944,12.1,1,"LEA"
50004,"occupations",31,"farmer",158.044,7.10000000000002,1,"LEA"
50004,"occupations",32,"antiques_dealer",164.244,6.19999999999999,0,"LEA"
50006,"occupations",1,"consultant",3.784,3.784,2,"LEA"
50006,"occupations",2,"fashion_designer",7.084,3.3,1,"LEA"
50006,"occupations",3,"doctor",10.084,3,1,"LEA"
50006,"occupations",4,"lawyer",11.684,1.6,0,"LEA"
50006,"occupations",5,"judge",13.184,1.5,0,"LEA"
50006,"occupations",6,"police_officer",14.484,1.3,0,"LEA"
50006,"occupations",7,"firefighter",15.984,1.5,0,"LEA"
50006,"occupations",8,"mayor",18.084,2.1,0,"LEA"
50006,"occupations",9,"governor",19.184,1.1,0,"LEA"
50006,"occupations",10,"president",20.184,1,0,"LEA"
50006,"occupations",11,"congressman",21.384,1.2,0,"LEA"
50006,"occupations",12,"garbage_man",24.984,3.6,0,"LEA"
50006,"occupations",13,"nurse",27.184,2.2,0,"LEA"
50006,"occupations",14,"bank_teller",30.684,3.5,0,"LEA"
50006,"occupations",15,"CEO",32.784,2.1,0,"LEA"
50006,"occupations",16,"COO",34.084,1.3,0,"LEA"
50006,"occupations",17,"CFO",34.984,0.899999999999999,0,"LEA"
50006,"occupations",18,"associate",45.584,10.6,1,"LEA"
50006,"occupations",19,"cashier",55.884,10.3,0,"LEA"
50006,"occupations",20,"cook",57.284,1.4,1,"LEA"
50006,"occupations",21,"waiter",59.584,2.3,0,"LEA"
50006,"occupations",22,"waitress",60.484,0.899999999999999,0,"LEA"
50006,"occupations",23,"scientist",70.784,10.3,1,"LEA"
50006,"occupations",24,"marine_biologist",76.884,6.09999999999999,0,"LEA"
50006,"occupations",25,"chemist",80.084,3.2,0,"LEA"
50006,"occupations",26,"computer_programmer",84.584,4.5,1,"LEA"
50006,"occupations",27,"musician",100.084,15.5,1,"LEA"
50006,"occupations",28,"artist",101.884,1.8,0,"LEA"
50006,"occupations",29,"teacher",115.184,13.3,1,"LEA"
50006,"occupations",30,"principal",116.384,1.2,0,"LEA"
50006,"occupations",31,"custodian",118.884,2.5,0,"LEA"
50006,"occupations",32,"manager",125.784,6.90000000000001,0,"LEA"
50006,"occupations",33,"financial_adviser",132.684,6.89999999999999,1,"LEA"
50006,"occupations",34,"academic_advisor",140.084,7.40000000000001,1,"LEA"
50006,"occupations",35,"dean",149.284,9.19999999999999,0,"LEA"
50006,"occupations",36,"professor",151.084,1.80000000000001,0,"LEA"
50006,"occupations",37,"social_worker",156.384,5.29999999999998,1,"LEA"
50006,"occupations",38,"marine",171.584,15.2,1,"LEA"
50007,"occupations",1,"police_officer",4.303,4.303,2,"LEA"
50007,"occupations",2,"fireman",6.803,2.5,0,"LEA"
50007,"occupations",3,"doctor",9.203,2.4,0,"LEA"
50007,"occupations",4,"nurse",11.503,2.3,0,"LEA"
50007,"occupations",5,"physical_therapist",14.003,2.5,0,"LEA"
50007,"occupations",6,"receptionist",18.303,4.3,1,"LEA"
50007,"occupations",7,"teacher",23.403,5.1,1,"LEA"
50007,"occupations",8,"professor",26.403,3,0,"LEA"
50007,"occupations",9,"writer",33.503,7.1,1,"LEA"
50007,"occupations",10,"journalist",37.903,4.4,0,"LEA"
50007,"occupations",11,"eye_doctor",41.803,3.9,1,"LEA"
50007,"occupations",12,"podiatrist",49.403,7.6,0,"LEA"
50007,"occupations",13,"veterinarian",52.203,2.8,1,"LEA"
50007,"occupations",14,"dietician",57.303,5.09999999999999,1,"LEA"
50007,"occupations",15,"fitness_instructor",62.803,5.5,1,"LEA"
50007,"occupations",16,"ear_nose_and_throat_specialist",73.603,10.8,1,"LEA"
50007,"occupations",17,"military_officer",80.203,6.60000000000001,1,"LEA"
50007,"occupations",18,"psychiatrist",87.803,7.59999999999999,1,"LEA"
50007,"occupations",19,"IT_person",94.303,6.5,1,"LEA"
50007,"occupations",20,"book_editor",99.603,5.3,1,"LEA"
50007,"occupations",21,"factory_worker",105.703,6.10000000000001,1,"LEA"
50007,"occupations",22,"chauffeur",111.903,6.2,1,"LEA"
50007,"occupations",23,"bus_driver",120.103,8.19999999999999,0,"LEA"
50007,"occupations",24,"president",131.903,11.8,1,"LEA"
50007,"occupations",25,"any_branch_of_government_job",142.503,10.6,0,"LEA"
50007,"occupations",26,"athlete",152.403,9.90000000000001,1,"LEA"
50007,"occupations",27,"computer_programmer",160.803,8.40000000000001,1,"LEA"
50007,"occupations",28,"cartographer",168.803,8,1,"LEA"
50007,"occupations",29,"chemist",173.403,4.59999999999999,1,"LEA"
50007,"occupations",30,"researcher",180.503,7.09999999999999,0,"LEA"
50008,"occupations",1,"receptionist",5.672,5.672,2,"LEA"
50008,"occupations",2,"elevator_operator",9.072,3.4,0,"LEA"
50008,"occupations",3,"door_person",11.572,2.5,1,"LEA"
50008,"occupations",4,"doctor",16.172,4.6,0,"LEA"
50008,"occupations",5,"nurse",16.872,0.699999999999999,0,"LEA"
50008,"occupations",6,"nurse_assistant",21.872,5,1,"LEA"
50008,"occupations",7,"firefighter",28.172,6.3,0,"LEA"
50008,"occupations",8,"police",29.772,1.6,1,"LEA"
50008,"occupations",9,"tax_collector",36.872,7.1,0,"LEA"
50008,"occupations",10,"accountant",40.172,3.3,1,"LEA"
50008,"occupations",11,"dentist",49.272,9.1,1,"LEA"
50008,"occupations",12,"professor",54.972,5.7,0,"LEA"
50008,"occupations",13,"administrative_assistant",64.672,9.7,0,"LEA"
50008,"occupations",14,"teacher",80.872,16.2,0,"LEA"
50008,"occupations",15,"teacher_aid",82.372,1.5,0,"LEA"
50008,"occupations",16,"principal",84.172,1.8,1,"LEA"
50008,"occupations",17,"grocer",90.172,6,0,"LEA"
50008,"occupations",18,"cashier",103.372,13.2,1,"LEA"
50008,"occupations",19,"technician",119.172,15.8,0,"LEA"
50008,"occupations",20,"welder",123.772,4.60000000000001,0,"LEA"
50008,"occupations",21,"maintenance_person",125.772,2,0,"LEA"
50008,"occupations",22,"cook",130.772,4.99999999999999,1,"LEA"
50008,"occupations",23,"factory_worker",150.272,19.5,1,"LEA"
50008,"occupations",24,"therapist",161.672,11.4,1,"LEA"
50008,"occupations",25,"gas_station_attendant",173.572,11.9,1,"LEA"
50010,"occupations",1,"doctor",2.652,2.652,2,"LEA"
50010,"occupations",2,"teacher",3.552,0.9,1,"LEA"
50010,"occupations",3,"professor",5.152,1.6,0,"LEA"
50010,"occupations",4,"CEO",7.452,2.3,1,"LEA"
50010,"occupations",5,"CFO",8.752,1.3,0,"LEA"
50010,"occupations",6,"accountant",10.552,1.8,1,"LEA"
50010,"occupations",7,"auditor",13.152,2.6,0,"LEA"
50010,"occupations",8,"writer",15.452,2.3,1,"LEA"
50010,"occupations",9,"author",16.652,1.2,0,"LEA"
50010,"occupations",10,"producer",17.752,1.1,1,"LEA"
50010,"occupations",11,"actor",19.152,1.4,0,"LEA"
50010,"occupations",12,"musician",20.852,1.7,0,"LEA"
50010,"occupations",13,"scientist",25.952,5.1,1,"LEA"
50010,"occupations",14,"volunteer",29.752,3.8,1,"LEA"
50010,"occupations",15,"manager",35.952,6.2,1,"LEA"
50010,"occupations",16,"marketer",37.652,1.7,0,"LEA"
50010,"occupations",17,"advertiser",38.952,1.3,0,"LEA"
50010,"occupations",18,"salesperson",42.152,3.2,0,"LEA"
50010,"occupations",19,"customer_service",46.552,4.4,0,"LEA"
