"subject","domain","response_number","participant_response","response_onset_time","IRT","participant_designated_switch","dataset","list_number"
50001,"occupations",1,"lawyer",3.841,3.841,2,"LEA",2
50001,"occupations",2,"doctor",5.541,1.7,0,"LEA",2
50001,"occupations",3,"researcher",8.441,2.9,0,"LEA",2
50001,"occupations",4,"social_worker",18.041,9.6,0,"LEA",2
50001,"occupations",5,"politician",25.641,7.6,1,"LEA",2
50001,"occupations",6,"writer",31.441,5.8,0,"LEA",2
50001,"occupations",7,"singer",33.741,2.3,0,"LEA",2
50001,"occupations",8,"musician",35.341,1.6,0,"LEA",2
50001,"occupations",9,"chef",42.341,7,0,"LEA",2
50001,"occupations",10,"secretary",47.341,5,0,"LEA",2
50001,"occupations",11,"nurse",59.041,11.7,0,"LEA",2
50001,"occupations",12,"audiologist",65.941,6.90000000000001,1,"LEA",2
50001,"occupations",13,"speech_pathologist",72.141,6.2,0,"LEA",2
50001,"occupations",14,"teacher",77.041,4.89999999999999,0,"LEA",2
50001,"occupations",15,"seamstress",87.141,10.1,1,"LEA",2
50001,"occupations",16,"actor",90.741,3.59999999999999,1,"LEA",2
50001,"occupations",17,"cashier",104.141,13.4,1,"LEA",2
50001,"occupations",18,"professor",124.841,20.7,0,"LEA",2
50001,"occupations",19,"construction_worker",133.441,8.60000000000001,0,"LEA",2
50001,"occupations",20,"manager",142.741,9.30000000000001,1,"LEA",2
50001,"occupations",21,"firefighter",159.341,16.6,1,"LEA",2
50001,"occupations",22,"police",162.541,3.19999999999999,0,"LEA",2
50001,"occupations",23,"surgeon",175.041,12.5,1,"LEA",2
50003,"occupations",1,"lawyer",4.801,4.801,2,"LEA",2
50003,"occupations",2,"doctor",6.001,1.2,0,"LEA",2
50003,"occupations",3,"surgeon",7.301,1.3,0,"LEA",2
50003,"occupations",4,"psychologist",8.701,1.4,0,"LEA",2
50003,"occupations",5,"counselor",10.101,1.4,0,"LEA",2
50003,"occupations",6,"janitor",12.501,2.4,0,"LEA",2
50003,"occupations",7,"secretary",15.301,2.8,0,"LEA",2
50003,"occupations",8,"clerk",16.801,1.5,0,"LEA",2
50003,"occupations",9,"salesperson",19.001,2.2,0,"LEA",2
50003,"occupations",10,"manager",20.801,1.8,0,"LEA",2
50003,"occupations",11,"teacher",22.801,2,1,"LEA",2
50003,"occupations",12,"lunch_lady",27.501,4.7,0,"LEA",2
50003,"occupations",13,"truck_driver",30.101,2.6,1,"LEA",2
50003,"occupations",14,"lab_technician",35.501,5.4,0,"LEA",2
50003,"occupations",15,"engineer",42.701,7.2,0,"LEA",2
50003,"occupations",16,"architect",44.501,1.8,0,"LEA",2
50003,"occupations",17,"physical_therapist",65.801,21.3,0,"LEA",2
50003,"occupations",18,"dermatologist",68.901,3.09999999999999,0,"LEA",2
50003,"occupations",19,"audiologist",71.701,2.8,0,"LEA",2
50003,"occupations",20,"accountant",81.601,9.90000000000001,1,"LEA",2
50003,"occupations",21,"oncologist",92.301,10.7,0,"LEA",2
50003,"occupations",22,"chef",99.101,6.8,0,"LEA",2
50003,"occupations",23,"artist",105.201,6.09999999999999,0,"LEA",2
50003,"occupations",24,"animator",107.201,2,0,"LEA",2
50003,"occupations",25,"director",109.001,1.80000000000001,0,"LEA",2
50003,"occupations",26,"producer",109.901,0.899999999999991,0,"LEA",2
50003,"occupations",27,"actor",111.401,1.5,0,"LEA",2
50003,"occupations",28,"musician",118.701,7.3,0,"LEA",2
50003,"occupations",29,"professional_sports_player",124.801,6.10000000000001,0,"LEA",2
50003,"occupations",30,"gardener",136.701,11.9,0,"LEA",2
50003,"occupations",31,"construction",147.801,11.1,0,"LEA",2
50003,"occupations",32,"uber_driver",152.201,4.40000000000001,0,"LEA",2
50003,"occupations",33,"student",157.701,5.5,0,"LEA",2
50003,"occupations",34,"retail_salesman",171.701,14,0,"LEA",2
50007,"occupations",1,"police_officer",4.303,4.303,2,"LEA",2
50007,"occupations",2,"fireman",6.803,2.5,0,"LEA",2
50007,"occupations",3,"doctor",9.203,2.4,0,"LEA",2
50007,"occupations",4,"nurse",11.503,2.3,0,"LEA",2
50007,"occupations",5,"physical_therapist",14.003,2.5,0,"LEA",2
50007,"occupations",6,"receptionist",18.303,4.3,1,"LEA",2
50007,"occupations",7,"teacher",23.403,5.1,1,"LEA",2
50007,"occupations",8,"professor",26.403,3,0,"LEA",2
50007,"occupations",9,"writer",33.503,7.1,1,"LEA",2
50007,"occupations",10,"journalist",37.903,4.4,0,"LEA",2
50007,"occupations",11,"eye_doctor",41.803,3.9,1,"LEA",2
50007,"occupations",12,"podiatrist",49.403,7.6,0,"LEA",2
50007,"occupations",13,"veterinarian",52.203,2.8,1,"LEA",2
50007,"occupations",14,"dietician",57.303,5.09999999999999,1,"LEA",2
50007,"occupations",15,"fitness_instructor",62.803,5.5,1,"LEA",2
50007,"occupations",16,"ear_nose_and_throat_specialist",73.603,10.8,1,"LEA",2
50007,"occupations",17,"military_officer",80.203,6.60000000000001,1,"LEA",2
50007,"occupations",18,"psychiatrist",87.803,7.59999999999999,1,"LEA",2
50007,"occupations",19,"IT_person",94.303,6.5,1,"LEA",2
50007,"occupations",20,"book_editor",99.603,5.3,1,"LEA",2
50007,"occupations",21,"factory_worker",105.703,6.10000000000001,1,"LEA",2
50007,"occupations",22,"chauffeur",111.903,6.2,1,"LEA",2
50007,"occupations",23,"bus_driver",120.103,8.19999999999999,0,"LEA",2
50007,"occupations",24,"president",131.903,11.8,1,"LEA",2
50007,"occupations",25,"any_branch_of_government_job",142.503,10.6,0,"LEA",2
50007,"occupations",26,"athlete",152.403,9.90000000000001,1,"LEA",2
50007,"occupations",27,"computer_programmer",160.803,8.40000000000001,1,"LEA",2
50007,"occupations",28,"cartographer",168.803,8,1,"LEA",2
50007,"occupations",29,"chemist",173.403,4.59999999999999,1,"LEA",2
50007,"occupations",30,"researcher",180.503,7.09999999999999,0,"LEA",2
50008,"occupations",1,"receptionist",5.672,5.672,2,"LEA",2
50008,"occupations",2,"elevator_operator",9.072,3.4,0,"LEA",2
50008,"occupations",3,"door_person",11.572,2.5,1,"LEA",2
50008,"occupations",4,"doctor",16.172,4.6,0,"LEA",2
50008,"occupations",5,"nurse",16.872,0.699999999999999,0,"LEA",2
50008,"occupations",6,"nurse_assistant",21.872,5,1,"LEA",2
50008,"occupations",7,"firefighter",28.172,6.3,0,"LEA",2
50008,"occupations",8,"police",29.772,1.6,1,"LEA",2
50008,"occupations",9,"tax_collector",36.872,7.1,0,"LEA",2
50008,"occupations",10,"accountant",40.172,3.3,1,"LEA",2
50008,"occupations",11,"dentist",49.272,9.1,1,"LEA",2
50008,"occupations",12,"professor",54.972,5.7,0,"LEA",2
50008,"occupations",13,"administrative_assistant",64.672,9.7,0,"LEA",2
50008,"occupations",14,"teacher",80.872,16.2,0,"LEA",2
50008,"occupations",15,"teacher_aid",82.372,1.5,0,"LEA",2
50008,"occupations",16,"principal",84.172,1.8,1,"LEA",2
50008,"occupations",17,"grocer",90.172,6,0,"LEA",2
50008,"occupations",18,"cashier",103.372,13.2,1,"LEA",2
50008,"occupations",19,"technician",119.172,15.8,0,"LEA",2
50008,"occupations",20,"welder",123.772,4.60000000000001,0,"LEA",2
50008,"occupations",21,"maintenance_person",125.772,2,0,"LEA",2
50008,"occupations",22,"cook",130.772,4.99999999999999,1,"LEA",2
50008,"occupations",23,"factory_worker",150.272,19.5,1,"LEA",2
50008,"occupations",24,"therapist",161.672,11.4,1,"LEA",2
50008,"occupations",25,"gas_station_attendant",173.572,11.9,1,"LEA",2
50010,"occupations",1,"doctor",2.652,2.652,2,"LEA",2
50010,"occupations",2,"teacher",3.552,0.9,1,"LEA",2
50010,"occupations",3,"professor",5.152,1.6,0,"LEA",2
50010,"occupations",4,"CEO",7.452,2.3,1,"LEA",2
50010,"occupations",5,"CFO",8.752,1.3,0,"LEA",2
50010,"occupations",6,"accountant",10.552,1.8,1,"LEA",2
50010,"occupations",7,"auditor",13.152,2.6,0,"LEA",2
50010,"occupations",8,"writer",15.452,2.3,1,"LEA",2
50010,"occupations",9,"author",16.652,1.2,0,"LEA",2
50010,"occupations",10,"producer",17.752,1.1,1,"LEA",2
50010,"occupations",11,"actor",19.152,1.4,0,"LEA",2
50010,"occupations",12,"musician",20.852,1.7,0,"LEA",2
